sMCI1,sMCI2,sMCI3,pMCI1,pMCI2,pMCI3
-3.756734493739188,-4.6371217281111825,-5.105528561374854,-0.6993005858327876,-1.0109410493235345,-1.5078538510073543
-6.109107205615743,-7.067341059958409,-8.14326699055647,0.2280960711043889,-0.5401871651208836,-0.40697678552770356
1.8448206381524983,0.8245345206948116,0.0898980860672225,-3.520995410856216,-4.169661150216072,-4.150056726777052
-7.481713765415293,-7.921624300797859,-9.469737506102788,18.127402552806174,17.437159934670603,17.48048343458923
7.796710160684299,7.129888262303098,6.54329697964782,-0.7274426691225244,-1.578714395887772,-2.270575766789591
-11.612376871596936,-12.436265616746667,-14.187031530450966,8.179107329836711,7.95628549539893,7.22190942637647
5.396888785177879,4.586164834616554,3.968506855510938,1.3710614684720213,1.0121929952022413,0.5072172084275479
1.912735610201267,0.9245617659062049,0.6748829103640048,-0.34740700751488873,-0.38952160951717474,0.07185380352503046
-7.203463894698999,-7.88532138506875,-8.730365923848467,3.727475238834316,3.5732111246949927,3.0487111436853525
-4.105359775658201,-4.798915236676507,-5.744306268891847,-1.0134677679906474,-1.7458332414346245,-2.341699124943915
3.3274468024962403,-0.09405049941312882,1.8312906784389469,-3.9472027864841266,-3.200191339783089,-6.003519489944807
10.428083044617267,9.242281400185476,8.700913386542652,1.5341899243046981,1.0632068410753988,0.7768231906878356
-0.972095701283564,-2.0413921420857832,-3.0666060520595977,10.759664907148988,9.962239733615007,9.43207330920525
3.5542985926954174,2.2933005273010707,1.6153460854040134,10.034196451294946,9.257910066803362,9.021972104512187
2.291588090671439,0.7490482163805154,0.3800483730237687,-6.648323531247286,-7.704799853837272,-6.726608405561905
-6.994590659144748,-8.271857310931466,-9.31804450016729,2.805491790500369,2.754795566591042,2.1735947459153806
2.071982316549594,0.7436853579670526,1.2541606310538782,16.934574741282333,16.360022609727835,15.882395903639676
-0.559670707525953,-1.4138079788001932,-1.8769959928226143,6.425900617347153,5.964798382512569,4.06710100002141
5.960740629727155,5.659270807379855,5.235608296424388,-3.681574036252897,-3.7834504779288523,-4.158116946280245
2.1944747232618482,1.4427490653593225,0.7065800711919081,-1.6897702435730366,-2.1936977438054583,-2.116341818634467
6.104309360724315,5.529705122740523,4.999371878989791,3.4980831322177153,3.9712365383303307,3.7812955047892842
-9.489402410815117,-10.61230302584083,-10.842881310616193,-0.7040201048625931,-0.9071173037862934,-1.8681037250188837
-6.389316690794345,-6.982136423534499,-7.891242044934856,6.973217868965051,6.8713524046135035,6.910703813086627
-8.52065722981375,-9.075146985983466,-9.250470277416525,-3.3581324122460217,-4.894885736665316,-5.051194475955029
